trial_type,trial_index,trial_number,plugin_version,time_elapsed,random_id,participant,rt,stimulus,response,condition,shape,image_path,surprisal,n_sides,text_response,word_count,practice_response
survey-text,5,1,2.0.0,44917,p3a712ar8yz,camel,11079,NA,"{""image_description"":""jagged edges on corners of a rectangle\n""}",study,63,stimuli/63.jpg,6749.45,15,"jagged edges on corners of a rectangle
",7,"a square
"
survey-text,6,2,2.0.0,74606,p3a712ar8yz,camel,29174,NA,"{""image_description"":""a series of lines forming a warped image; jutting out sections similar to rectangle shapes\n""}",study,108,stimuli/108.jpg,7046.82,24,"a series of lines forming a warped image; jutting out sections similar to rectangle shapes
",15,"a square
"
survey-text,7,3,2.0.0,108423,p3a712ar8yz,camel,33304,NA,"{""image_description"":""a base rectangle in the center with other lines jutting out, forming a trapezoid on the left and a triangular shape to the top right\n""}",study,96,stimuli/96.jpg,6946.2,22,"a base rectangle in the center with other lines jutting out, forming a trapezoid on the left and a triangular shape to the top right
",25,"a square
"
survey-text,8,4,2.0.0,123216,p3a712ar8yz,camel,14279,NA,"{""image_description"":""a long trapezoidal figure, with at triangle at the bottom""}",study,19,stimuli/19.jpg,6604.19,6,"a long trapezoidal figure, with at triangle at the bottom",10,"a square
"
survey-text,9,5,2.0.0,131404,p3a712ar8yz,camel,7684,NA,"{""image_description"":""a rectangle with a bent edge top right""}",study,11,stimuli/11.jpg,6580.42,5,a rectangle with a bent edge top right,8,"a square
"
survey-text,10,6,2.0.0,143782,p3a712ar8yz,camel,11867,NA,"{""image_description"":""sort of like an arrow head, warped rectangle on the left section""}",study,46,stimuli/46.jpg,6754.16,12,"sort of like an arrow head, warped rectangle on the left section",12,"a square
"
survey-text,11,7,2.0.0,170629,p3a712ar8yz,camel,26288,NA,"{""image_description"":""flower edges jutting out in a way on the left side of the shape. right bottom like a bow tie""}",study,144,stimuli/144.jpg,7102.03,31,flower edges jutting out in a way on the left side of the shape. right bottom like a bow tie,20,"a square
"
survey-text,12,8,2.0.0,188800,p3a712ar8yz,camel,17650,NA,"{""image_description"":""looks like a cartoon-like head shape, mouth left side jutting out""}",study,60,stimuli/60.jpg,6764.54,14,"looks like a cartoon-like head shape, mouth left side jutting out",11,"a square
"
survey-text,13,9,2.0.0,196658,p3a712ar8yz,camel,7345,NA,"{""image_description"":""rectangle with some bent lines""}",study,35,stimuli/35.jpg,6698.42,9,rectangle with some bent lines,5,"a square
"
survey-text,14,10,2.0.0,215492,p3a712ar8yz,camel,18317,NA,"{""image_description"":""amalgamation of shapes warped at every corner of the base shape; triangle, rectangle""}",study,129,stimuli/129.jpg,7041.77,28,"amalgamation of shapes warped at every corner of the base shape; triangle, rectangle",13,"a square
"
