trial_type,trial_index,trial_number,plugin_version,time_elapsed,random_id,participant,rt,stimulus,response,condition,shape,image_path,surprisal,n_sides,text_response,word_count,practice_response
survey-text,15,11,2.0.0,248205,p3a712ar8yz,camel,32198,NA,"{""image_description"":""even more amalgamation, several triangles forming on the left side, rectangular 'leg' right side, witch hat on the top""}",study,142,stimuli/142.jpg,7115.27,31,"even more amalgamation, several triangles forming on the left side, rectangular 'leg' right side, witch hat on the top",19,"a square
"
survey-text,16,12,2.0.0,273551,p3a712ar8yz,camel,24836,NA,"{""image_description"":""a house-like shape on the top, with a warped middle part, leading to a square and triangle shapes jutting out""}",study,134,stimuli/134.jpg,7048.98,29,"a house-like shape on the top, with a warped middle part, leading to a square and triangle shapes jutting out",20,"a square
"
survey-text,17,13,2.0.0,288932,p3a712ar8yz,camel,14866,NA,"{""image_description"":""trapezoid""}",study,10,stimuli/10.jpg,6545.43,4,trapezoid,1,"a square
"
survey-text,18,14,2.0.0,312517,p3a712ar8yz,camel,23072,NA,"{""image_description"":""two jutting triangles forming two separate legs, with a square body and a misshapen rectangular arm""}",study,143,stimuli/143.jpg,6915.69,31,"two jutting triangles forming two separate legs, with a square body and a misshapen rectangular arm",16,"a square
"
survey-text,19,15,2.0.0,328387,p3a712ar8yz,camel,15355,NA,"{""image_description"":""a base square with right side edges forming a triangle and a house-top""}",study,68,stimuli/68.jpg,6783.11,16,a base square with right side edges forming a triangle and a house-top,13,"a square
"
survey-text,20,16,2.0.0,360195,p3a712ar8yz,camel,31299,NA,"{""image_description"":""several triangles forming jutting out from the center""}",study,81,stimuli/81.jpg,6817.86,19,several triangles forming jutting out from the center,8,"a square
"
survey-text,21,17,2.0.0,392558,p3a712ar8yz,camel,31844,NA,"{""image_description"":""two rectangular shapes, one larger on the left, smaller on the right, with a candle flame coming out of the top""}",study,95,stimuli/95.jpg,6926.4,21,"two rectangular shapes, one larger on the left, smaller on the right, with a candle flame coming out of the top",21,"a square
"
survey-text,22,18,2.0.0,411092,p3a712ar8yz,camel,18027,NA,"{""image_description"":""a warped s from a top down view""}",study,42,stimuli/42.jpg,6766.43,11,a warped s from a top down view,8,"a square
"
survey-text,23,19,2.0.0,461215,p3a712ar8yz,camel,49606,NA,"{""image_description"":""septagon with a top right peaking out""}",study,24,stimuli/24.jpg,6629.99,7,septagon with a top right peaking out,7,"a square
"
survey-text,24,20,2.0.0,481661,p3a712ar8yz,camel,19887,NA,"{""image_description"":""like a medieval shaped helmet with a top edge coming at the top of the helm""}",study,102,stimuli/102.jpg,6857.23,23,like a medieval shaped helmet with a top edge coming at the top of the helm,16,"a square
"
survey-text,5,1,2.0.0,52714,p3br6yhq8tv,rhino,16735,NA,"{""image_description"":""top of a scythe""}",study,39,stimuli/39.jpg,6609.47,10,top of a scythe,4,black square
survey-text,6,2,2.0.0,76003,p3br6yhq8tv,rhino,22784,NA,"{""image_description"":""a leaf with the top left portion ripped off""}",study,106,stimuli/106.jpg,6901.59,24,a leaf with the top left portion ripped off,9,black square
survey-text,7,3,2.0.0,130600,p3br6yhq8tv,rhino,54090,NA,"{""image_description"":""upside down trapezoid with a triangle taken off the top\n""}",study,30,stimuli/30.jpg,6632.49,8,"upside down trapezoid with a triangle taken off the top
",10,black square
survey-text,8,4,2.0.0,155032,p3br6yhq8tv,rhino,23929,NA,"{""image_description"":""a maple lead pointed to the left""}",study,45,stimuli/45.jpg,6703.14,11,a maple lead pointed to the left,7,black square
survey-text,9,5,2.0.0,260307,p3br6yhq8tv,rhino,104755,NA,"{""image_description"":""a triangle at the top of the shape pointed to the right, and then the top of a square, and then something sharp pointed to the right and the bottom left corner is a right angle, as you trace back up to the triangle there is a little ledge that hangs off that points to the left""}",study,138,stimuli/138.jpg,7120.54,30,"a triangle at the top of the shape pointed to the right, and then the top of a square, and then something sharp pointed to the right and the bottom left corner is a right angle, as you trace back up to the triangle there is a little ledge that hangs off that points to the left",57,black square
survey-text,10,6,2.0.0,290590,p3br6yhq8tv,rhino,29766,NA,"{""image_description"":""the top of a wrench facing to the left with a triangle on top pointing to the upper right corner""}",study,102,stimuli/102.jpg,6857.23,23,the top of a wrench facing to the left with a triangle on top pointing to the upper right corner,20,black square
survey-text,11,7,2.0.0,323575,p3br6yhq8tv,rhino,32472,NA,"{""image_description"":""it looks like a glove with four fingers ""}",study,128,stimuli/128.jpg,7090.6,28,it looks like a glove with four fingers,9,black square
survey-text,12,8,2.0.0,415856,p3br6yhq8tv,rhino,91771,NA,"{""image_description"":""this looks like the top of a hand sanitizer with two  pointy corners hanging off of it""}",study,73,stimuli/73.jpg,6798.06,17,this looks like the top of a hand sanitizer with two  pointy corners hanging off of it,18,black square
survey-text,13,9,2.0.0,452061,p3br6yhq8tv,rhino,35699,NA,"{""image_description"":""a simple drawing of a fox facing to the right and a right triangle looking to the left""}",study,83,stimuli/83.jpg,6903.38,19,a simple drawing of a fox facing to the right and a right triangle looking to the left,18,black square
survey-text,14,10,2.0.0,468594,p3br6yhq8tv,rhino,16023,NA,"{""image_description"":""this looks like a bonzai tree""}",study,135,stimuli/135.jpg,7034.4,29,this looks like a bonzai tree,6,black square
survey-text,15,11,2.0.0,497395,p3br6yhq8tv,rhino,28297,NA,"{""image_description"":""this looks like a very simplified version of sonic the hedgehog if his face was a square, he is also looking to the left""}",study,72,stimuli/72.jpg,6817.14,17,"this looks like a very simplified version of sonic the hedgehog if his face was a square, he is also looking to the left",24,black square
survey-text,16,12,2.0.0,529249,p3br6yhq8tv,rhino,31352,NA,"{""image_description"":""this is a triangle where the top is pointing to the bottom left corner""}",study,5,stimuli/5.jpg,6522.84,3,this is a triangle where the top is pointing to the bottom left corner,14,black square
survey-text,17,13,2.0.0,595971,p3br6yhq8tv,rhino,66207,NA,"{""image_description"":""this looks like the top of a volcano pointing to the top right and then there is a sharp corner facing up  and then as you trace back towards the volcano there is a little divot ""}",study,57,stimuli/57.jpg,6789.16,14,this looks like the top of a volcano pointing to the top right and then there is a sharp corner facing up  and then as you trace back towards the volcano there is a little divot,38,black square
survey-text,18,14,2.0.0,630007,p3br6yhq8tv,rhino,33530,NA,"{""image_description"":""this is a badly drawn hexagon with a sharp corner on the top left that turns it into a septagon""}",study,24,stimuli/24.jpg,6629.99,7,this is a badly drawn hexagon with a sharp corner on the top left that turns it into a septagon,20,black square
survey-text,19,15,2.0.0,653407,p3br6yhq8tv,rhino,22896,NA,"{""image_description"":""trapezoid with the top shorter side pointed towards the right""}",study,12,stimuli/12.jpg,6544.99,5,trapezoid with the top shorter side pointed towards the right,10,black square
survey-text,20,16,2.0.0,715663,p3br6yhq8tv,rhino,61746,NA,"{""image_description"":""this looks like a pair of jeans and on the bottom left there is a right triangle, going up the left pant leg there is a triangle that points to the left and then a rectangle that also points to the left""}",study,130,stimuli/130.jpg,7037.09,28,"this looks like a pair of jeans and on the bottom left there is a right triangle, going up the left pant leg there is a triangle that points to the left and then a rectangle that also points to the left",42,black square
survey-text,21,17,2.0.0,771900,p3br6yhq8tv,rhino,55725,NA,"{""image_description"":""if you squint really hard it looks like a goat head on the left and then when you go to the right its a rectangle with a bumpy top with a sharp corner on the bottom right""}",study,100,stimuli/100.jpg,6897.69,22,if you squint really hard it looks like a goat head on the left and then when you go to the right its a rectangle with a bumpy top with a sharp corner on the bottom right,37,black square
survey-text,22,18,2.0.0,807717,p3br6yhq8tv,rhino,35300,NA,"{""image_description"":""this looks like a spaceship to me ""}",study,107,stimuli/107.jpg,6920.13,24,this looks like a spaceship to me,8,black square
survey-text,23,19,2.0.0,879164,p3br6yhq8tv,rhino,70943,NA,"{""image_description"":""this looks like the outline of the side profile of someone with a flat top like guile from street fighter, a big nose, and a pointy chin, and the left is a rectangle with a pointy bottom left corner""}",study,79,stimuli/79.jpg,6796.42,18,"this looks like the outline of the side profile of someone with a flat top like guile from street fighter, a big nose, and a pointy chin, and the left is a rectangle with a pointy bottom left corner",39,black square
survey-text,24,20,2.0.0,969037,p3br6yhq8tv,rhino,89370,NA,"{""image_description"":""the top looks like a rabbit and the rest of the body is really weird, like the bottom right of the body is a square, and the left side of the body has a pointy back portion and a rectangle sticking up out the back""}",study,150,stimuli/150.jpg,7209.25,32,"the top looks like a rabbit and the rest of the body is really weird, like the bottom right of the body is a square, and the left side of the body has a pointy back portion and a rectangle sticking up out the back",45,black square
survey-text,5,1,2.0.0,41411,p46l58enxpu,hyena,6097,NA,"{""image_description"":""triangle""}",study,4,stimuli/4.jpg,6515.23,3,triangle,1,"square
"
survey-text,6,2,2.0.0,57365,p46l58enxpu,hyena,15438,NA,"{""image_description"":""triangle square arrow""}",study,37,stimuli/37.jpg,6725.55,10,triangle square arrow,3,"square
"
survey-text,7,3,2.0.0,69269,p46l58enxpu,hyena,11366,NA,"{""image_description"":""origami""}",study,127,stimuli/127.jpg,7055.1,28,origami,1,"square
"
survey-text,8,4,2.0.0,97034,p46l58enxpu,hyena,27210,NA,"{""image_description"":""11-sided shape with two rigid triangles with no base\n""}",study,40,stimuli/40.jpg,6690.54,10,"11-sided shape with two rigid triangles with no base
",9,"square
"
survey-text,9,5,2.0.0,135631,p46l58enxpu,hyena,38060,NA,"{""image_description"":""arrow with 8 sides and a concave pointer""}",study,43,stimuli/43.jpg,6685.72,11,arrow with 8 sides and a concave pointer,8,"square
"
survey-text,10,6,2.0.0,149843,p46l58enxpu,hyena,13668,NA,"{""image_description"":""deformed airplane""}",study,78,stimuli/78.jpg,6840.04,18,deformed airplane,2,"square
"
survey-text,11,7,2.0.0,156349,p46l58enxpu,hyena,5974,NA,"{""image_description"":""pokemon ""}",study,136,stimuli/136.jpg,7007.06,30,pokemon,2,"square
"
survey-text,12,8,2.0.0,177050,p46l58enxpu,hyena,20147,NA,"{""image_description"":""perhaps a rabbit""}",study,152,stimuli/152.jpg,7144.83,33,perhaps a rabbit,3,"square
"
survey-text,13,9,2.0.0,216182,p46l58enxpu,hyena,38611,NA,"{""image_description"":""bowtie with the left side a little smaller ""}",study,23,stimuli/23.jpg,6577.38,7,bowtie with the left side a little smaller,9,"square
"
survey-text,14,10,2.0.0,241319,p46l58enxpu,hyena,24590,NA,"{""image_description"":""left side looks like a windmill with two triangles ""}",study,153,stimuli/153.jpg,7262.77,33,left side looks like a windmill with two triangles,10,"square
"
survey-text,15,11,2.0.0,255710,p46l58enxpu,hyena,13861,NA,"{""image_description"":""funny looking hawk""}",study,66,stimuli/66.jpg,6801.34,16,funny looking hawk,3,"square
"
survey-text,16,12,2.0.0,289765,p46l58enxpu,hyena,33520,NA,"{""image_description"":""a bird with a really big wing bigger than its body""}",study,80,stimuli/80.jpg,6806.13,18,a bird with a really big wing bigger than its body,11,"square
"
survey-text,17,13,2.0.0,308395,p46l58enxpu,hyena,18097,NA,"{""image_description"":""dinosaur with wings standing on a triangle""}",study,115,stimuli/115.jpg,6963.36,25,dinosaur with wings standing on a triangle,7,"square
"
survey-text,18,14,2.0.0,332476,p46l58enxpu,hyena,23542,NA,"{""image_description"":""cool looking motorcycle helment""}",study,124,stimuli/124.jpg,6991.53,27,cool looking motorcycle helment,4,"square
"
survey-text,19,15,2.0.0,351951,p46l58enxpu,hyena,18940,NA,"{""image_description"":""slanted rectangle""}",study,10,stimuli/10.jpg,6545.43,4,slanted rectangle,2,"square
"
survey-text,20,16,2.0.0,379587,p46l58enxpu,hyena,27103,NA,"{""image_description"":""grand canyon""}",study,91,stimuli/91.jpg,6985.65,21,grand canyon,2,"square
"
survey-text,21,17,2.0.0,392060,p46l58enxpu,hyena,11933,NA,"{""image_description"":""motorcycle""}",study,119,stimuli/119.jpg,7073.52,26,motorcycle,1,"square
"
survey-text,22,18,2.0.0,409363,p46l58enxpu,hyena,16782,NA,"{""image_description"":""bird with no wings""}",study,65,stimuli/65.jpg,6894.67,15,bird with no wings,4,"square
"
survey-text,23,19,2.0.0,424234,p46l58enxpu,hyena,14341,NA,"{""image_description"":""bird with its beak facing the left. ""}",study,116,stimuli/116.jpg,7061.19,26,bird with its beak facing the left.,8,"square
"
survey-text,24,20,2.0.0,458566,p46l58enxpu,hyena,33804,NA,"{""image_description"":""a boulder with a crab hand on its left side""}",study,113,stimuli/113.jpg,6936.3,25,a boulder with a crab hand on its left side,10,"square
"
survey-text,5,1,2.0.0,100053,p606235arax,tiger,46701,NA,"{""image_description"":""irregular, closed polygon""}",study,69,stimuli/69.jpg,6809.38,16,"irregular, closed polygon",3,"a square box with black frame
"
survey-text,6,2,2.0.0,147925,p606235arax,tiger,47359,NA,"{""image_description"":""irregular, closed polygon, without any symmetric clue""}",study,74,stimuli/74.jpg,6769.21,17,"irregular, closed polygon, without any symmetric clue",7,"a square box with black frame
"
survey-text,7,3,2.0.0,251303,p606235arax,tiger,102873,NA,"{""image_description"":""It has sharp corners and consists of straight lines with close loop""}",study,19,stimuli/19.jpg,6604.19,6,It has sharp corners and consists of straight lines with close loop,12,"a square box with black frame
"
survey-text,8,4,2.0.0,303426,p606235arax,tiger,51617,NA,"{""image_description"":""some abstract closed loop shape""}",study,127,stimuli/127.jpg,7055.1,28,some abstract closed loop shape,5,"a square box with black frame
"
survey-text,9,5,2.0.0,352653,p606235arax,tiger,48719,NA,"{""image_description"":""some closed loop which looks like mountain""}",study,34,stimuli/34.jpg,6639.63,9,some closed loop which looks like mountain,7,"a square box with black frame
"
survey-text,10,6,2.0.0,381904,p606235arax,tiger,28746,NA,"{""image_description"":"" quadrilateral with irregular side lengths and angles""}",study,6,stimuli/6.jpg,6547.97,4,quadrilateral with irregular side lengths and angles,8,"a square box with black frame
"
survey-text,11,7,2.0.0,410541,p606235arax,tiger,28131,NA,"{""image_description"":""some abstract shape with no idea what it is but a closed loop""}",study,84,stimuli/84.jpg,6959.66,19,some abstract shape with no idea what it is but a closed loop,13,"a square box with black frame
"
survey-text,12,8,2.0.0,425330,p606235arax,tiger,14285,NA,"{""image_description"":""some abstract shape with closed loop""}",study,141,stimuli/141.jpg,7037.04,31,some abstract shape with closed loop,6,"a square box with black frame
"
survey-text,13,9,2.0.0,426995,p606235arax,tiger,1160,NA,"{""image_description"":""some abstract shape with closed loop""}",study,98,stimuli/98.jpg,6906.48,22,some abstract shape with closed loop,6,"a square box with black frame
"
survey-text,14,10,2.0.0,428477,p606235arax,tiger,973,NA,"{""image_description"":""some abstract shape with closed loop""}",study,102,stimuli/102.jpg,6857.23,23,some abstract shape with closed loop,6,"a square box with black frame
"
survey-text,15,11,2.0.0,430021,p606235arax,tiger,1041,NA,"{""image_description"":""some abstract shape with closed loop""}",study,123,stimuli/123.jpg,7035.3,27,some abstract shape with closed loop,6,"a square box with black frame
"
survey-text,16,12,2.0.0,432083,p606235arax,tiger,1550,NA,"{""image_description"":""some abstract shape with closed loop""}",study,70,stimuli/70.jpg,6790.01,16,some abstract shape with closed loop,6,"a square box with black frame
"
survey-text,17,13,2.0.0,450431,p606235arax,tiger,17828,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape""}",study,40,stimuli/40.jpg,6690.54,10,some abstract shape with closed loop. wihtout any parallel line or regular shape,13,"a square box with black frame
"
survey-text,18,14,2.0.0,453224,p606235arax,tiger,2289,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape""}",study,75,stimuli/75.jpg,6817.48,17,some abstract shape with closed loop. wihtout any parallel line or regular shape,13,"a square box with black frame
"
survey-text,19,15,2.0.0,455458,p606235arax,tiger,1726,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape""}",study,27,stimuli/27.jpg,6627.84,8,some abstract shape with closed loop. wihtout any parallel line or regular shape,13,"a square box with black frame
"
survey-text,20,16,2.0.0,456860,p606235arax,tiger,898,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape""}",study,91,stimuli/91.jpg,6985.65,21,some abstract shape with closed loop. wihtout any parallel line or regular shape,13,"a square box with black frame
"
survey-text,21,17,2.0.0,458733,p606235arax,tiger,1364,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape""}",study,144,stimuli/144.jpg,7102.03,31,some abstract shape with closed loop. wihtout any parallel line or regular shape,13,"a square box with black frame
"
survey-text,22,18,2.0.0,460266,p606235arax,tiger,1026,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape""}",study,73,stimuli/73.jpg,6798.06,17,some abstract shape with closed loop. wihtout any parallel line or regular shape,13,"a square box with black frame
"
survey-text,23,19,2.0.0,482762,p606235arax,tiger,21991,NA,"{""image_description"":""some abstract shape with closed loop. wihtout any parallel line or regular shape. Even with more angles""}",study,151,stimuli/151.jpg,7245.76,33,some abstract shape with closed loop. wihtout any parallel line or regular shape. Even with more angles,17,"a square box with black frame
"
survey-text,24,20,2.0.0,491261,p606235arax,tiger,7994,NA,"{""image_description"":""some abstract shape with closed loop. ""}",study,93,stimuli/93.jpg,6903.36,21,some abstract shape with closed loop.,7,"a square box with black frame
"
survey-text,5,1,2.0.0,30492,p6e6la2do44,penguin,16629,NA,"{""image_description"":""diagonal square with a bump in the top right""}",study,35,stimuli/35.jpg,6698.42,9,diagonal square with a bump in the top right,9,"square
"
survey-text,6,2,2.0.0,64418,p6e6la2do44,penguin,33419,NA,"{""image_description"":""some sort of rhino with a horn in the middle of its body and really thin back legs""}",study,126,stimuli/126.jpg,7003.01,28,some sort of rhino with a horn in the middle of its body and really thin back legs,18,"square
"
survey-text,7,3,2.0.0,82079,p6e6la2do44,penguin,17156,NA,"{""image_description"":""tilted parallelogram\n""}",study,7,stimuli/7.jpg,6558.43,4,"tilted parallelogram
",2,"square
"
survey-text,8,4,2.0.0,98868,p6e6la2do44,penguin,16283,NA,"{""image_description"":""a bird about to fly from a rock\n""}",study,138,stimuli/138.jpg,7120.54,30,"a bird about to fly from a rock
",8,"square
"
survey-text,9,5,2.0.0,114001,p6e6la2do44,penguin,14627,NA,"{""image_description"":""a lobster with a stick for a head""}",study,150,stimuli/150.jpg,7209.25,32,a lobster with a stick for a head,8,"square
"
survey-text,10,6,2.0.0,128388,p6e6la2do44,penguin,13882,NA,"{""image_description"":""a bird in flight with a big throat and long tail""}",study,116,stimuli/116.jpg,7061.19,26,a bird in flight with a big throat and long tail,11,"square
"
survey-text,11,7,2.0.0,147106,p6e6la2do44,penguin,18214,NA,"{""image_description"":""a duck with a bump in its chest\n""}",study,71,stimuli/71.jpg,6779.96,17,"a duck with a bump in its chest
",8,"square
"
survey-text,12,8,2.0.0,215819,p6e6la2do44,penguin,68205,NA,"{""image_description"":""like a sideways goblin head""}",study,56,stimuli/56.jpg,6726.19,14,like a sideways goblin head,5,"square
"
survey-text,13,9,2.0.0,225580,p6e6la2do44,penguin,9244,NA,"{""image_description"":""a falcon swooping down on prey""}",study,114,stimuli/114.jpg,7105.53,25,a falcon swooping down on prey,6,"square
"
survey-text,14,10,2.0.0,241562,p6e6la2do44,penguin,15475,NA,"{""image_description"":""a claw hand streached open""}",study,102,stimuli/102.jpg,6857.23,23,a claw hand streached open,5,"square
"
survey-text,15,11,2.0.0,247948,p6e6la2do44,penguin,5879,NA,"{""image_description"":""a camel""}",study,156,stimuli/156.jpg,7199.99,34,a camel,2,"square
"
survey-text,16,12,2.0.0,259155,p6e6la2do44,penguin,10690,NA,"{""image_description"":""misshapen hexagon""}",study,18,stimuli/18.jpg,6619.38,6,misshapen hexagon,2,"square
"
survey-text,17,13,2.0.0,271039,p6e6la2do44,penguin,11378,NA,"{""image_description"":""a slim vertical fish""}",study,51,stimuli/51.jpg,6793.84,13,a slim vertical fish,4,"square
"
survey-text,18,14,2.0.0,304649,p6e6la2do44,penguin,33106,NA,"{""image_description"":""like a weirder stick figure person""}",study,112,stimuli/112.jpg,6989.4,25,like a weirder stick figure person,6,"square
"
survey-text,19,15,2.0.0,310730,p6e6la2do44,penguin,5577,NA,"{""image_description"":""a boat""}",study,70,stimuli/70.jpg,6790.01,16,a boat,2,"square
"
survey-text,20,16,2.0.0,319551,p6e6la2do44,penguin,8313,NA,"{""image_description"":""trapezoid tilted""}",study,9,stimuli/9.jpg,6544.29,4,trapezoid tilted,2,"square
"
survey-text,21,17,2.0.0,349414,p6e6la2do44,penguin,29359,NA,"{""image_description"":""head and beak of a pterodactyl""}",study,39,stimuli/39.jpg,6609.47,10,head and beak of a pterodactyl,6,"square
"
survey-text,22,18,2.0.0,366916,p6e6la2do44,penguin,16995,NA,"{""image_description"":""i dont even know how to describe this one""}",study,97,stimuli/97.jpg,7048.4,22,i dont even know how to describe this one,9,"square
"
survey-text,23,19,2.0.0,617075,p6e6la2do44,penguin,249654,NA,"{""image_description"":""like a warped plane""}",study,146,stimuli/146.jpg,7116.7,32,like a warped plane,4,"square
"
survey-text,24,20,2.0.0,625526,p6e6la2do44,penguin,7943,NA,"{""image_description"":""a bug crawling""}",study,52,stimuli/52.jpg,6699.28,13,a bug crawling,3,"square
"
survey-text,5,1,2.0.0,204995,p7lf0e11ebd,llama,180339,NA,"{""image_description"":""start drawing a triangle with no bottom line, then from the corner right point of the triangle draw a straight line slanted down for like 2 seconds then a little point sticking out, then draw a slanted right line going up into a less slanted line and then draw a horizontal line to the left then a triangle which goes into a straight line then another right slanted line that goes up into a weird little point then start going to thee left, draw an upward line then another triangle with no bottom into a downward left slanted line into another straightmline into a rectangle connected to the original triangle you drew in the beginning""}",study,93,stimuli/93.jpg,6903.36,21,"start drawing a triangle with no bottom line, then from the corner right point of the triangle draw a straight line slanted down for like 2 seconds then a little point sticking out, then draw a slanted right line going up into a less slanted line and then draw a horizontal line to the left then a triangle which goes into a straight line then another right slanted line that goes up into a weird little point then start going to thee left, draw an upward line then another triangle with no bottom into a downward left slanted line into another straightmline into a rectangle connected to the original triangle you drew in the beginning",115,"square
"
survey-text,6,2,2.0.0,209516,p7lf0e11ebd,llama,4010,NA,"{""image_description"":""triangle\n""}",study,4,stimuli/4.jpg,6515.23,3,"triangle
",1,"square
"
survey-text,7,3,2.0.0,286972,p7lf0e11ebd,llama,76941,NA,"{""image_description"":""draw a straight horizontal line then half a square, then a straight vertical line, that goes into a right up slant line, into this curve that leads to a triangular point that goes down into a square shape which reconnects with the horizontal line\n""}",study,47,stimuli/47.jpg,6715.11,12,"draw a straight horizontal line then half a square, then a straight vertical line, that goes into a right up slant line, into this curve that leads to a triangular point that goes down into a square shape which reconnects with the horizontal line
",44,"square
"
survey-text,8,4,2.0.0,563599,p7lf0e11ebd,llama,276103,NA,"{""image_description"":""it's a thin shape so, it starts with an incomplete square and into another incomplete square, like a jigsaw. then it is curved and then into a triangle and another bigger rectangle ""}",study,112,stimuli/112.jpg,6989.4,25,"it's a thin shape so, it starts with an incomplete square and into another incomplete square, like a jigsaw. then it is curved and then into a triangle and another bigger rectangle",33,"square
"
survey-text,9,5,2.0.0,742808,p7lf0e11ebd,llama,178688,NA,"{""image_description"":""a straight right slanted line, then from the top draw a slanted line going down then a straight line then another vertical straight line then a right slanted down straight line then a sharo point, then draw what looks like the bottom of a knife blade but with a knick in it and then a square ""}",study,80,stimuli/80.jpg,6806.13,18,"a straight right slanted line, then from the top draw a slanted line going down then a straight line then another vertical straight line then a right slanted down straight line then a sharo point, then draw what looks like the bottom of a knife blade but with a knick in it and then a square",57,"square
"
survey-text,10,6,2.0.0,766534,p7lf0e11ebd,llama,23216,NA,"{""image_description"":""draw a sharp triangle point and the bottom is a rectangle to the right""}",study,25,stimuli/25.jpg,6595.51,7,draw a sharp triangle point and the bottom is a rectangle to the right,14,"square
"
survey-text,11,7,2.0.0,2229364,p7lf0e11ebd,llama,491738,NA,"{""image_description"":""start with a morphed rectangle at the bottom then at the top right corner into a triangle then a very boxy whale then connect back to rectangle""}",study,125,stimuli/125.jpg,7031.31,27,start with a morphed rectangle at the bottom then at the top right corner into a triangle then a very boxy whale then connect back to rectangle,27,"square
"
survey-text,12,8,2.0.0,2285740,p7lf0e11ebd,llama,55864,NA,"{""image_description"":""its a square shape but the right side is super jagged and jiggly but sharp""}",study,40,stimuli/40.jpg,6690.54,10,its a square shape but the right side is super jagged and jiggly but sharp,15,"square
"
survey-text,13,9,2.0.0,2675746,p7lf0e11ebd,llama,359357,NA,"{""image_description"":""It looks like a blocky mouse""}",study,103,stimuli/103.jpg,6915.47,23,It looks like a blocky mouse,6,"square
"
survey-text,14,10,2.0.0,2699642,p7lf0e11ebd,llama,23381,NA,"{""image_description"":""It is a horse with a big rearing its front legs""}",study,120,stimuli/120.jpg,7075.54,26,It is a horse with a big rearing its front legs,11,"square
"
survey-text,15,11,2.0.0,3129115,p7lf0e11ebd,llama,428958,NA,"{""image_description"":""a triangle but the tip is pointed down and then into the shape of a gun""}",study,78,stimuli/78.jpg,6840.04,18,a triangle but the tip is pointed down and then into the shape of a gun,16,"square
"
survey-text,16,12,2.0.0,3135671,p7lf0e11ebd,llama,6043,NA,"{""image_description"":""another triangle""}",study,3,stimuli/3.jpg,6526.68,3,another triangle,2,"square
"
survey-text,17,13,2.0.0,3164315,p7lf0e11ebd,llama,28132,NA,"{""image_description"":""a dragon head that is blocky""}",study,135,stimuli/135.jpg,7034.4,29,a dragon head that is blocky,6,"square
"
