"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","11","pnnvjwubprf","shark","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4015","pnnvjwubprf","shark","2990","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","13659","pnnvjwubprf","shark","9643","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","15531","pnnvjwubprf","shark","1870","","{""participant_id"":""shark""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","36322","pnnvjwubprf","shark","20788","","{""image_description"":""It is a square""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","217866","pnnvjwubprf","shark","181038","","{""image_description"":""rectangle with 8 lines. Right side is longer than left. Bottom horizontal axis from right to left is, slight diagonal up, followed but a vertical line that goes straight up, then a straight horizontal line. It then continues by does a negative(back toward the right side) diagonal downward line before quickly going back to a straight horizontal line.""}","study","50","stimuli/50.jpg","6725.34","12","rectangle with 8 lines. Right side is longer than left. Bottom horizontal axis from right to left is, slight diagonal up, followed but a vertical line that goes straight up, then a straight horizontal line. It then continues by does a negative(back toward the right side) diagonal downward line before quickly going back to a straight horizontal line.","58"
"","","","","","survey-text","6","2.0.0","287222","pnnvjwubprf","shark","68837","","{""image_description"":""X like shape but on the top and bottom open spaces of the X there are added triangles. The top on being short with a wide base, and the bottom being long with a narrower base""}","study","86","stimuli/86.jpg","6896.99","20","X like shape but on the top and bottom open spaces of the X there are added triangles. The top on being short with a wide base, and the bottom being long with a narrower base","36"
"","","","","","survey-text","7","2.0.0","512381","pnnvjwubprf","shark","224644","","{""image_description"":""a square that you took chunks out of. top right, looks like a boot shape was taken out, bottom right a V shape is taken out. left side the not vertical lines of a k are taken out\n""}","study","107","stimuli/107.jpg","6920.13","24","a square that you took chunks out of. top right, looks like a boot shape was taken out, bottom right a V shape is taken out. left side the not vertical lines of a k are taken out
","38"
"","","","","","survey-text","8","2.0.0","554018","pnnvjwubprf","shark","41123","","{""image_description"":""square with non straight edges, right side has major triangular chunk taken out of it""}","study","56","stimuli/56.jpg","6726.19","14","square with non straight edges, right side has major triangular chunk taken out of it","15"
"","","","","","survey-text","9","2.0.0","733054","pnnvjwubprf","shark","178531","","{""image_description"":""house with a chimney. has a boot shape sticking out the bottom. There is a shape extending to the right, which I would describe as drawing someone flexing there arm but you only have 10 lines""}","study","108","stimuli/108.jpg","7046.82","24","house with a chimney. has a boot shape sticking out the bottom. There is a shape extending to the right, which I would describe as drawing someone flexing there arm but you only have 10 lines","36"
