"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","640","pc1tlsf3rh5","2341","","","","","","","","","",""
"true","","","","","fullscreen","1","null","3371","pc1tlsf3rh5","2341","1729","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","20736","pc1tlsf3rh5","2341","17364","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","23845","pc1tlsf3rh5","2341","3106","","{""participant_id"":""2341""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","30396","pc1tlsf3rh5","2341","6545","","{""image_description"":""square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","37500","pc1tlsf3rh5","2341","6600","","{""image_description"":""organic shape""}","study","112","stimuli/112.jpg","6989.4","25","organic shape","2"
"","","","","","survey-text","6","2.0.0","44092","pc1tlsf3rh5","2341","6088","","{""image_description"":""triangle tilted\n""}","study","4","stimuli/4.jpg","6515.23","3","triangle tilted
","2"
"","","","","","survey-text","7","2.0.0","49961","pc1tlsf3rh5","2341","5366","","{""image_description"":""organic shape""}","study","108","stimuli/108.jpg","7046.82","24","organic shape","2"
"","","","","","survey-text","8","2.0.0","54300","pc1tlsf3rh5","2341","3836","","{""image_description"":""organic shape""}","study","138","stimuli/138.jpg","7120.54","30","organic shape","2"
"","","","","","survey-text","9","2.0.0","60420","pc1tlsf3rh5","2341","5616","","{""image_description"":""organic shape ""}","study","101","stimuli/101.jpg","6963.9","23","organic shape ","3"
"","","","","","survey-text","10","2.0.0","71183","pc1tlsf3rh5","2341","10260","","{""image_description"":""rombus""}","study","8","stimuli/8.jpg","6564.91","4","rombus","1"
"","","","","","survey-text","11","2.0.0","75892","pc1tlsf3rh5","2341","4206","","{""image_description"":""organic shape""}","study","106","stimuli/106.jpg","6901.59","24","organic shape","2"
"","","","","","survey-text","12","2.0.0","81844","pc1tlsf3rh5","2341","5449","","{""image_description"":""organic shape ""}","study","131","stimuli/131.jpg","7030.26","29","organic shape ","3"
"","","","","","survey-text","13","2.0.0","96791","pc1tlsf3rh5","2341","14444","","{""image_description"":""square and triangle ""}","study","15","stimuli/15.jpg","6585.63","5","square and triangle ","4"
"","","","","","survey-text","14","2.0.0","101233","pc1tlsf3rh5","2341","3940","","{""image_description"":""organic shape ""}","study","80","stimuli/80.jpg","6806.13","18","organic shape ","3"
"","","","","","survey-text","15","2.0.0","107953","pc1tlsf3rh5","2341","6217","","{""image_description"":""organic shape ""}","study","160","stimuli/160.jpg","7132.53","34","organic shape ","3"
"","","","","","survey-text","16","2.0.0","113170","pc1tlsf3rh5","2341","4714","","{""image_description"":""organic shape ""}","study","73","stimuli/73.jpg","6798.06","17","organic shape ","3"
"","","","","","survey-text","17","2.0.0","118051","pc1tlsf3rh5","2341","4377","","{""image_description"":""organic shape ""}","study","39","stimuli/39.jpg","6609.47","10","organic shape ","3"
"","","","","","survey-text","18","2.0.0","123147","pc1tlsf3rh5","2341","4594","","{""image_description"":""organic shape ""}","study","57","stimuli/57.jpg","6789.16","14","organic shape ","3"
"","","","","","survey-text","19","2.0.0","129376","pc1tlsf3rh5","2341","5726","","{""image_description"":""organic shape ""}","study","116","stimuli/116.jpg","7061.19","26","organic shape ","3"
"","","","","","survey-text","20","2.0.0","136691","pc1tlsf3rh5","2341","6812","","{""image_description"":""organic shape""}","study","150","stimuli/150.jpg","7209.25","32","organic shape","2"
"","","","","","survey-text","21","2.0.0","149560","pc1tlsf3rh5","2341","12366","","{""image_description"":""rectangle and triangles ""}","study","13","stimuli/13.jpg","6577.27","5","rectangle and triangles ","4"
"","","","","","survey-text","22","2.0.0","155077","pc1tlsf3rh5","2341","5014","","{""image_description"":""organic shape""}","study","58","stimuli/58.jpg","6794.84","14","organic shape","2"
"","","","","","survey-text","23","2.0.0","160479","pc1tlsf3rh5","2341","4898","","{""image_description"":""organic shape ""}","study","154","stimuli/154.jpg","7155.07","33","organic shape ","3"
"","","","","","survey-text","24","2.0.0","166527","pc1tlsf3rh5","2341","5547","","{""image_description"":""organic shape ""}","study","52","stimuli/52.jpg","6699.28","13","organic shape ","3"
"","","","","","survey-text","25","2.0.0","202078","pc1tlsf3rh5","2341","35047","","{""Q0"":""shape recognition "",""Q1"":""NA"",""Q2"":""yes"",""Q3"":""examples for what to put for responses ""}","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","218735","pc1tlsf3rh5","2341","16656","<p style=""width:900px;"">Congratulations! You have completed the visual complexity experiment. You received visual stimuli of varying complexity and was asked to describe them. We are collecting data to show the relationship between complex objects and events in the real world and their representations in the mind. We want to know if there is an inverted U-shaped relationship between the two, meaning the length of the descriptions of the stimuli would increase as their complexity increases, hit a plateau point of maximum of description length where they would then begin the decrease as the stimuli gets increasingly complex still. Thanks for participating!</p>"," ","","","","","","",""
"true","","","","","fullscreen","27","null","219737","pc1tlsf3rh5","2341","null","","","","","","","","",""
