"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","1257","psdwcey1m4n","kangaroo","","","","","","","","","",""
"true","","","","","fullscreen","1","null","5294","psdwcey1m4n","kangaroo","3033","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","16557","psdwcey1m4n","kangaroo","11261","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","19792","psdwcey1m4n","kangaroo","3230","","{""participant_id"":""kangaroo""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","31149","psdwcey1m4n","kangaroo","11348","","{""image_description"":""A large rectangle \n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","81036","psdwcey1m4n","kangaroo","49382","","{""image_description"":""The outline of a a creature from the side view with a triangular tail. ""}","study","139","stimuli/139.jpg","7164.58","30","The outline of a a creature from the side view with a triangular tail. ","15"
"","","","","","survey-text","6","2.0.0","134607","psdwcey1m4n","kangaroo","53065","","{""image_description"":""An almost square shape where the right side has 3 parts that stick out and the left side is almost a square. ""}","study","68","stimuli/68.jpg","6783.11","16","An almost square shape where the right side has 3 parts that stick out and the left side is almost a square. ","23"
"","","","","","survey-text","7","2.0.0","170866","psdwcey1m4n","kangaroo","35755","","{""image_description"":""Top has three spikes and is connected to a triangular shape on the bottom. \n""}","study","88","stimuli/88.jpg","6908.86","20","Top has three spikes and is connected to a triangular shape on the bottom. 
","15"
"","","","","","survey-text","8","2.0.0","203848","psdwcey1m4n","kangaroo","32477","","{""image_description"":""Shape of a wrench except the handle is not a stick but spikey. \n""}","study","118","stimuli/118.jpg","7003.15","26","Shape of a wrench except the handle is not a stick but spikey. 
","14"
"","","","","","survey-text","9","2.0.0","245492","psdwcey1m4n","kangaroo","41139","","{""image_description"":""An quadrilateral shape and each side is a different length. ""}","study","7","stimuli/7.jpg","6558.43","4","An quadrilateral shape and each side is a different length. ","11"
"","","","","","survey-text","10","2.0.0","277051","psdwcey1m4n","kangaroo","31053","","{""image_description"":""Left side has two things that stick out and one thing that sticks out on the bottom right. ""}","study","47","stimuli/47.jpg","6715.11","12","Left side has two things that stick out and one thing that sticks out on the bottom right. ","19"
"","","","","","survey-text","11","2.0.0","292904","psdwcey1m4n","kangaroo","15350","","{""image_description"":""A square but the right side has three spikes.""}","study","40","stimuli/40.jpg","6690.54","10","A square but the right side has three spikes.","9"
"","","","","","survey-text","12","2.0.0","368896","psdwcey1m4n","kangaroo","75487","","{""image_description"":""The shape of an hourglass but without the curves and has sharp edges. The hourglass is tilted to the left and has a triangle sticking out of it on the bottom right. \n""}","study","57","stimuli/57.jpg","6789.16","14","The shape of an hourglass but without the curves and has sharp edges. The hourglass is tilted to the left and has a triangle sticking out of it on the bottom right. 
","33"
"","","","","","survey-text","13","2.0.0","386521","psdwcey1m4n","kangaroo","17121","","{""image_description"":""A bird that is upside down and has a fat tail. ""}","study","70","stimuli/70.jpg","6790.01","16","A bird that is upside down and has a fat tail. ","12"
"","","","","","survey-text","14","2.0.0","447036","psdwcey1m4n","kangaroo","60009","","{""image_description"":""The outline of the letter G but it is deformed and has a bunch of triangles sticking out of it. ""}","study","85","stimuli/85.jpg","6831.41","19","The outline of the letter G but it is deformed and has a bunch of triangles sticking out of it. ","21"
"","","","","","survey-text","15","2.0.0","461677","psdwcey1m4n","kangaroo","14137","","{""image_description"":""A rectangle but the right side has two triangles jutted out. ""}","study","38","stimuli/38.jpg","6702.45","10","A rectangle but the right side has two triangles jutted out. ","12"
"","","","","","survey-text","16","2.0.0","473654","psdwcey1m4n","kangaroo","11473","","{""image_description"":""A rigid shape with many triangles jutting out. ""}","study","123","stimuli/123.jpg","7035.3","27","A rigid shape with many triangles jutting out. ","9"
"","","","","","survey-text","17","2.0.0","500188","psdwcey1m4n","kangaroo","26029","","{""image_description"":""A rigid shape with three main sections and several mini sections of triangles that jut out. ""}","study","141","stimuli/141.jpg","7037.04","31","A rigid shape with three main sections and several mini sections of triangles that jut out. ","17"
"","","","","","survey-text","18","2.0.0","521416","psdwcey1m4n","kangaroo","20725","","{""image_description"":""Almost hour glass shape but has no curves""}","study","151","stimuli/151.jpg","7245.76","33","Almost hour glass shape but has no curves","8"
"","","","","","survey-text","19","2.0.0","537781","psdwcey1m4n","kangaroo","15859","","{""image_description"":""Almost the shape of an oval but there are no curved lines. ""}","study","29","stimuli/29.jpg","6694.47","8","Almost the shape of an oval but there are no curved lines. ","13"
