"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","900","ptwavfsfbfk","dolphin","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2970","ptwavfsfbfk","dolphin","1066","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","8663","ptwavfsfbfk","dolphin","5690","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","10591","ptwavfsfbfk","dolphin","1922","","{""participant_id"":""dolphin""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","16333","ptwavfsfbfk","dolphin","5735","","{""image_description"":""Square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","44696","ptwavfsfbfk","dolphin","27858","","{""image_description"":""upside bird with sharper corners\n""}","study","64","stimuli/64.jpg","6822.22","15","upside bird with sharper corners
","5"
"","","","","","survey-text","6","2.0.0","48214","ptwavfsfbfk","dolphin","3014","","{""image_description"":""triangle""}","study","4","stimuli/4.jpg","6515.23","3","triangle","1"
"","","","","","survey-text","7","2.0.0","71824","ptwavfsfbfk","dolphin","23106","","{""image_description"":""minnnoseta looking shape with a triangle added to the top and a triangler indent at the bottom\n""}","study","104","stimuli/104.jpg","6941.74","23","minnnoseta looking shape with a triangle added to the top and a triangler indent at the bottom
","17"
"","","","","","survey-text","8","2.0.0","111039","ptwavfsfbfk","dolphin","38711","","{""image_description"":""bird like figure with a triangle wing and a rhombus wing, both the front end and back end are triangles\n""}","study","75","stimuli/75.jpg","6817.48","17","bird like figure with a triangle wing and a rhombus wing, both the front end and back end are triangles
","20"
"","","","","","survey-text","9","2.0.0","152864","ptwavfsfbfk","dolphin","41321","","{""image_description"":""big whole mess, abstract drawing ""}","study","114","stimuli/114.jpg","7105.53","25","big whole mess, abstract drawing ","6"
"","","","","","survey-text","10","2.0.0","193514","ptwavfsfbfk","dolphin","40144","","{""image_description"":""bare bones witches head with a pointy cap, pointy chin and point nose. at the back of her head is a broomstick like figure stuck in her\n""}","study","155","stimuli/155.jpg","7171.51","33","bare bones witches head with a pointy cap, pointy chin and point nose. at the back of her head is a broomstick like figure stuck in her
","27"
"","","","","","survey-text","11","2.0.0","199967","ptwavfsfbfk","dolphin","5949","","{""image_description"":""spearhead tip\n""}","study","28","stimuli/28.jpg","6676.6","8","spearhead tip
","2"
"","","","","","survey-text","12","2.0.0","220929","ptwavfsfbfk","dolphin","20458","","{""image_description"":""rotated dinosaur bird with a flat top""}","study","136","stimuli/136.jpg","7007.06","30","rotated dinosaur bird with a flat top","7"
"","","","","","survey-text","13","2.0.0","233523","ptwavfsfbfk","dolphin","12090","","{""image_description"":""really fucked up half moon""}","study","124","stimuli/124.jpg","6991.53","27","really fucked up half moon","5"
"","","","","","survey-text","14","2.0.0","253365","ptwavfsfbfk","dolphin","19338","","{""image_description"":""witch arched like shes on a broomstick excpet she has a triangle tail at the end""}","study","142","stimuli/142.jpg","7115.27","31","witch arched like shes on a broomstick excpet she has a triangle tail at the end","16"
"","","","","","survey-text","15","2.0.0","310897","ptwavfsfbfk","dolphin","57029","","{""image_description"":""abstract piece\n""}","study","127","stimuli/127.jpg","7055.1","28","abstract piece
","2"
"","","","","","survey-text","16","2.0.0","374699","ptwavfsfbfk","dolphin","63298","","{""image_description"":""on the left side is some russian general with a pointed nose and hate, on the right side is popeye with a big fat trapezoid chin that faces down. Nothing in the middle\n""}","study","116","stimuli/116.jpg","7061.19","26","on the left side is some russian general with a pointed nose and hate, on the right side is popeye with a big fat trapezoid chin that faces down. Nothing in the middle
","33"
"","","","","","survey-text","17","2.0.0","393461","ptwavfsfbfk","dolphin","18257","","{""image_description"":""Cool looking C with the roof of it's house on the back""}","study","93","stimuli/93.jpg","6903.36","21","Cool looking C with the roof of it's house on the back","12"
"","","","","","survey-text","18","2.0.0","416665","ptwavfsfbfk","dolphin","22701","","{""image_description"":""hexagon except the top most tip is pointed""}","study","24","stimuli/24.jpg","6629.99","7","hexagon except the top most tip is pointed","8"
"","","","","","survey-text","19","2.0.0","435377","ptwavfsfbfk","dolphin","18208","","{""image_description"":""big boot with a pointed forward edge""}","study","23","stimuli/23.jpg","6577.38","7","big boot with a pointed forward edge","7"
"","","","","","survey-text","20","2.0.0","441110","ptwavfsfbfk","dolphin","5229","","{""image_description"":""abstract art""}","study","48","stimuli/48.jpg","6690.71","12","abstract art","2"
"","","","","","survey-text","21","2.0.0","476461","ptwavfsfbfk","dolphin","34847","","{""image_description"":""aphex twin album cover except rotated 180 degrees""}","study","46","stimuli/46.jpg","6754.16","12","aphex twin album cover except rotated 180 degrees","8"
