"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","593","pwpxx0x6u0n","antelope","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2202","pwpxx0x6u0n","antelope","606","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","150662","pwpxx0x6u0n","antelope","148465","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>","h","","","","","","",""
"","","","","","survey-text","3","2.0.0","154407","pwpxx0x6u0n","antelope","3742","","{""participant_id"":""antelope""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","181136","pwpxx0x6u0n","antelope","26720","","{""image_description"":""a hollow, empty square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","205885","pwpxx0x6u0n","antelope","24248","","{""image_description"":""I see a weird shape\n""}","study","71","stimuli/71.jpg","6779.96","17","I see a weird shape
","5"
"","","","","","survey-text","6","2.0.0","217532","pwpxx0x6u0n","antelope","11142","","{""image_description"":""a weird shape""}","study","88","stimuli/88.jpg","6908.86","20","a weird shape","3"
"","","","","","survey-text","7","2.0.0","222444","pwpxx0x6u0n","antelope","4406","","{""image_description"":""a pine tree""}","study","142","stimuli/142.jpg","7115.27","31","a pine tree","3"
"","","","","","survey-text","8","2.0.0","235635","pwpxx0x6u0n","antelope","12687","","{""image_description"":""weird shape""}","study","57","stimuli/57.jpg","6789.16","14","weird shape","2"
"","","","","","survey-text","9","2.0.0","243164","pwpxx0x6u0n","antelope","7027","","{""image_description"":""A triangle""}","study","2","stimuli/2.jpg","6550.44","3","A triangle","2"
"","","","","","survey-text","10","2.0.0","245493","pwpxx0x6u0n","antelope","1823","","{""image_description"":""weird shape""}","study","134","stimuli/134.jpg","7048.98","29","weird shape","2"
"","","","","","survey-text","11","2.0.0","247515","pwpxx0x6u0n","antelope","1520","","{""image_description"":""weird shape""}","study","132","stimuli/132.jpg","7051.12","29","weird shape","2"
"","","","","","survey-text","12","2.0.0","251216","pwpxx0x6u0n","antelope","3196","","{""image_description"":""weird shape""}","study","108","stimuli/108.jpg","7046.82","24","weird shape","2"
"","","","","","survey-text","13","2.0.0","266948","pwpxx0x6u0n","antelope","15228","","{""image_description"":""a weird shaped square ""}","study","38","stimuli/38.jpg","6702.45","10","a weird shaped square ","5"
"","","","","","survey-text","14","2.0.0","269637","pwpxx0x6u0n","antelope","2183","","{""image_description"":""weird shape""}","study","53","stimuli/53.jpg","6758.52","13","weird shape","2"
"","","","","","survey-text","15","2.0.0","271930","pwpxx0x6u0n","antelope","1790","","{""image_description"":""weird shape""}","study","141","stimuli/141.jpg","7037.04","31","weird shape","2"
"","","","","","survey-text","16","2.0.0","275551","pwpxx0x6u0n","antelope","3116","","{""image_description"":""weird shape""}","study","153","stimuli/153.jpg","7262.77","33","weird shape","2"
"","","","","","survey-text","17","2.0.0","278643","pwpxx0x6u0n","antelope","2587","","{""image_description"":""weird shape""}","study","87","stimuli/87.jpg","6853.72","20","weird shape","2"
"","","","","","survey-text","18","2.0.0","287447","pwpxx0x6u0n","antelope","8299","","{""image_description"":""weird shape""}","study","21","stimuli/21.jpg","6619.34","7","weird shape","2"
"","","","","","survey-text","19","2.0.0","304161","pwpxx0x6u0n","antelope","16210","","{""image_description"":""weird shape""}","study","12","stimuli/12.jpg","6544.99","5","weird shape","2"
"","","","","","survey-text","20","2.0.0","306377","pwpxx0x6u0n","antelope","1713","","{""image_description"":""weird shape""}","study","70","stimuli/70.jpg","6790.01","16","weird shape","2"
"","","","","","survey-text","21","2.0.0","308801","pwpxx0x6u0n","antelope","1922","","{""image_description"":""weird shape""}","study","43","stimuli/43.jpg","6685.72","11","weird shape","2"
"","","","","","survey-text","22","2.0.0","310510","pwpxx0x6u0n","antelope","1206","","{""image_description"":""weird shape""}","study","103","stimuli/103.jpg","6915.47","23","weird shape","2"
"","","","","","survey-text","23","2.0.0","312138","pwpxx0x6u0n","antelope","1126","","{""image_description"":""weird shape""}","study","17","stimuli/17.jpg","6592.16","6","weird shape","2"
"","","","","","survey-text","24","2.0.0","313785","pwpxx0x6u0n","antelope","1143","","{""image_description"":""weird shape""}","study","90","stimuli/90.jpg","6873.09","20","weird shape","2"
"","","","","","survey-text","25","2.0.0","328496","pwpxx0x6u0n","antelope","14206","","{""Q0"":""I dont know"",""Q1"":""no "",""Q2"":""kind of "",""Q3"":""No ""}","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","329500","pwpxx0x6u0n","antelope","1002","<p style=""width:900px;"">Congratulations! You have completed the visual complexity experiment. You received visual stimuli of varying complexity and was asked to describe them. We are collecting data to show the relationship between complex objects and events in the real world and their representations in the mind. We want to know if there is an inverted U-shaped relationship between the two, meaning the length of the descriptions of the stimuli would increase as their complexity increases, hit a plateau point of maximum of description length where they would then begin the decrease as the stimuli gets increasingly complex still. Thanks for participating!</p>","f","","","","","","",""
"true","","","","","fullscreen","27","null","330502","pwpxx0x6u0n","antelope","null","","","","","","","","",""
