"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","14","phts0u8cvs2","koala","","","","","","","","","",""
"true","","","","","fullscreen","1","null","10298","phts0u8cvs2","koala","9276","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","30772","phts0u8cvs2","koala","20472","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","34918","phts0u8cvs2","koala","4143","","{""participant_id"":""koala""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","53769","phts0u8cvs2","koala","18823","","{""image_description"":""rectangle""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","112501","phts0u8cvs2","koala","58223","","{""image_description"":""jagged quadrilateral shape with arrow-shaped dip in the center ""}","study","91","stimuli/91.jpg","6985.65","21","jagged quadrilateral shape with arrow-shaped dip in the center ","10"
"","","","","","survey-text","6","2.0.0","158749","phts0u8cvs2","koala","45743","","{""image_description"":""pentagon with two adjacent really elongated sides""}","study","17","stimuli/17.jpg","6592.16","6","pentagon with two adjacent really elongated sides","7"
"","","","","","survey-text","7","2.0.0","206886","phts0u8cvs2","koala","47627","","{""image_description"":""rectangle with triangles coming out of it on all sides and on some corners""}","study","66","stimuli/66.jpg","6801.34","16","rectangle with triangles coming out of it on all sides and on some corners","14"
"","","","","","survey-text","8","2.0.0","284869","phts0u8cvs2","koala","77468","","{""image_description"":""jagged shape that caves in on the left and has a sharp triangle at the start of the cave, resembles a skull shape""}","study","132","stimuli/132.jpg","7051.12","29","jagged shape that caves in on the left and has a sharp triangle at the start of the cave, resembles a skull shape","23"
"","","","","","survey-text","9","2.0.0","358613","phts0u8cvs2","koala","73238","","{""image_description"":""quadrilateral shape, 3 sharp spikes on the bottom, spike on top left, very long spike on the right, resembles a tree stump""}","study","77","stimuli/77.jpg","6870.06","18","quadrilateral shape, 3 sharp spikes on the bottom, spike on top left, very long spike on the right, resembles a tree stump","22"
"","","","","","survey-text","10","2.0.0","414587","phts0u8cvs2","koala","55469","","{""image_description"":""two scalene triangles, they are connected by the longest side of one triangle and the second longest side of the other triangle""}","study","13","stimuli/13.jpg","6577.27","5","two scalene triangles, they are connected by the longest side of one triangle and the second longest side of the other triangle","22"
"","","","","","survey-text","11","2.0.0","448479","phts0u8cvs2","koala","33380","","{""image_description"":""triangle with cut corners on top of a quadrilateral shape with a spike coming out the top""}","study","57","stimuli/57.jpg","6789.16","14","triangle with cut corners on top of a quadrilateral shape with a spike coming out the top","17"
"","","","","","survey-text","12","2.0.0","460520","phts0u8cvs2","koala","11535","","{""image_description"":""isosceles triangle""}","study","5","stimuli/5.jpg","6522.84","3","isosceles triangle","2"
"","","","","","survey-text","13","2.0.0","534213","phts0u8cvs2","koala","73176","","{""image_description"":""sort of looks like mexico with square shaped cave-in on the right""}","study","124","stimuli/124.jpg","6991.53","27","sort of looks like mexico with square shaped cave-in on the right","12"
"","","","","","survey-text","14","2.0.0","541505","phts0u8cvs2","koala","6781","","{""image_description"":""scalene triangle""}","study","2","stimuli/2.jpg","6550.44","3","scalene triangle","2"
"","","","","","survey-text","15","2.0.0","585927","phts0u8cvs2","koala","43903","","{""image_description"":""squarish shape with quadrilateral cave-in on top and spiky squarish cave-in on the bottom""}","study","100","stimuli/100.jpg","6897.69","22","squarish shape with quadrilateral cave-in on top and spiky squarish cave-in on the bottom","14"
"","","","","","survey-text","16","2.0.0","653994","phts0u8cvs2","koala","67564","","{""image_description"":""triangle with huge spike on top connected to reverse C shape and big spike on top, big spike inside the curve""}","study","127","stimuli/127.jpg","7055.1","28","triangle with huge spike on top connected to reverse C shape and big spike on top, big spike inside the curve","21"
"","","","","","survey-text","17","2.0.0","729740","phts0u8cvs2","koala","75239","","{""image_description"":""square with quadrilateral cave-in on top and left side, cut corner on the right, cut corners on right side, spikes on the bottom and triangle cutout, ""}","study","118","stimuli/118.jpg","7003.15","26","square with quadrilateral cave-in on top and left side, cut corner on the right, cut corners on right side, spikes on the bottom and triangle cutout, ","27"
"","","","","","survey-text","18","2.0.0","749340","phts0u8cvs2","koala","19096","","{""image_description"":""square with spiky cave-ins on each side""}","study","147","stimuli/147.jpg","7182.98","32","square with spiky cave-ins on each side","7"
