"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","171823","p9yuyd38xtl","leopard","","","","","","","","","",""
"true","","","","","fullscreen","1","null","194025","p9yuyd38xtl","leopard","21199","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","202046","p9yuyd38xtl","leopard","8021","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>","s","","","","","","",""
"","","","","","survey-text","3","2.0.0","204245","p9yuyd38xtl","leopard","2197","","{""participant_id"":""leopard""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","245859","p9yuyd38xtl","leopard","41610","","{""image_description"":""A square, which is 4 lines starting left to right then up then left then down ""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","268519","p9yuyd38xtl","leopard","22156","","{""image_description"":""trapezoid\n""}","study","18","stimuli/18.jpg","6619.38","6","trapezoid
","1"
"","","","","","survey-text","6","2.0.0","294845","p9yuyd38xtl","leopard","25822","","{""image_description"":""square with pointy legs and a trapezoid head\n""}","study","143","stimuli/143.jpg","6915.69","31","square with pointy legs and a trapezoid head
","8"
"","","","","","survey-text","7","2.0.0","312599","p9yuyd38xtl","leopard","17251","","{""image_description"":""someone spilling a puddle of liquid on the floor""}","study","150","stimuli/150.jpg","7209.25","32","someone spilling a puddle of liquid on the floor","9"
"","","","","","survey-text","8","2.0.0","329526","p9yuyd38xtl","leopard","16425","","{""image_description"":""a circle that is not perfectly drawn ""}","study","24","stimuli/24.jpg","6629.99","7","a circle that is not perfectly drawn ","8"
"","","","","","survey-text","9","2.0.0","368184","p9yuyd38xtl","leopard","38154","","{""image_description"":""rectangle with random trapezoids surrounding it\n""}","study","110","stimuli/110.jpg","6951.51","24","rectangle with random trapezoids surrounding it
","6"
"","","","","","survey-text","10","2.0.0","384335","p9yuyd38xtl","leopard","15648","","{""image_description"":""a leaf ""}","study","37","stimuli/37.jpg","6725.55","10","a leaf ","3"
"","","","","","survey-text","11","2.0.0","393383","p9yuyd38xtl","leopard","8545","","{""image_description"":""a crab claw \n""}","study","118","stimuli/118.jpg","7003.15","26","a crab claw 
","4"
"","","","","","survey-text","12","2.0.0","403702","p9yuyd38xtl","leopard","9818","","{""image_description"":""a traingle with three equal sides ""}","study","5","stimuli/5.jpg","6522.84","3","a traingle with three equal sides ","7"
"","","","","","survey-text","13","2.0.0","436305","p9yuyd38xtl","leopard","32087","","{""image_description"":""a greater than sign with a bumb on top of it \n""}","study","103","stimuli/103.jpg","6915.47","23","a greater than sign with a bumb on top of it 
","12"
"","","","","","survey-text","14","2.0.0","500703","p9yuyd38xtl","leopard","63896","","{""image_description"":""a fish with spikey back ""}","study","132","stimuli/132.jpg","7051.12","29","a fish with spikey back ","6"
"","","","","","survey-text","15","2.0.0","529787","p9yuyd38xtl","leopard","28583","","{""image_description"":""an L shape rectangle with the bottom being more narrower \n""}","study","58","stimuli/58.jpg","6794.84","14","an L shape rectangle with the bottom being more narrower 
","11"
"","","","","","survey-text","16","2.0.0","567824","p9yuyd38xtl","leopard","37524","","{""image_description"":""spikes on a badly drawn rectangle ""}","study","74","stimuli/74.jpg","6769.21","17","spikes on a badly drawn rectangle ","7"
"","","","","","survey-text","17","2.0.0","581295","p9yuyd38xtl","leopard","12969","","{""image_description"":""square with some intends inside it""}","study","34","stimuli/34.jpg","6639.63","9","square with some intends inside it","6"
"","","","","","survey-text","18","2.0.0","668313","p9yuyd38xtl","leopard","86517","","{""image_description"":""Fish with an anchor under it""}","study","108","stimuli/108.jpg","7046.82","24","Fish with an anchor under it","6"
"","","","","","survey-text","19","2.0.0","757638","p9yuyd38xtl","leopard","88824","","{""image_description"":""Some state like arkansas or kansas""}","study","47","stimuli/47.jpg","6715.11","12","Some state like arkansas or kansas","6"
"","","","","","survey-text","20","2.0.0","782717","p9yuyd38xtl","leopard","24574","","{""image_description"":""helmet with a spike on top ""}","study","156","stimuli/156.jpg","7199.99","34","helmet with a spike on top ","7"
"","","","","","survey-text","21","2.0.0","788981","p9yuyd38xtl","leopard","5761","","{""image_description"":""a comb""}","study","59","stimuli/59.jpg","6820.36","14","a comb","2"
"","","","","","survey-text","22","2.0.0","804223","p9yuyd38xtl","leopard","14740","","{""image_description"":""a an arrow with the base being the thicker part ""}","study","54","stimuli/54.jpg","6708.13","13","a an arrow with the base being the thicker part ","11"
"","","","","","survey-text","23","2.0.0","826633","p9yuyd38xtl","leopard","21908","","{""image_description"":""lightning bolt with random other shapes ""}","study","141","stimuli/141.jpg","7037.04","31","lightning bolt with random other shapes ","7"
"","","","","","survey-text","24","2.0.0","845658","p9yuyd38xtl","leopard","18523","","{""image_description"":""multiple trapezoids combined""}","study","116","stimuli/116.jpg","7061.19","26","multiple trapezoids combined","3"
