"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","741","po26baes4xa","heron ","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2429","po26baes4xa","heron ","681","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","10151","po26baes4xa","heron ","7722","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","13163","po26baes4xa","heron ","3009","","{""participant_id"":""heron ""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","17879","po26baes4xa","heron ","4714","","{""image_description"":""square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","95841","po26baes4xa","heron ","77448","","{""image_description"":""janky triangle on the top connected to a rectangle with another janky triangle on the left, then makes a sharp left to make another angle outward to form 1/2 a trapezoid.""}","study","109","stimuli/109.jpg","6984.61","24","janky triangle on the top connected to a rectangle with another janky triangle on the left, then makes a sharp left to make another angle outward to form 1/2 a trapezoid.","31"
"","","","","","survey-text","6","2.0.0","152218","po26baes4xa","heron ","55865","","{""image_description"":""an \""n\"" shaped splatter with about 10 angles around it.""}","study","112","stimuli/112.jpg","6989.4","25","an ""n"" shaped splatter with about 10 angles around it.","10"
"","","","","","survey-text","7","2.0.0","273133","po26baes4xa","heron ","120408","","{""image_description"":""a 'u' shaped splatter with two triangles on the bottom left, a long angle to the bottom right, a hook shape with a sharp angle to the top right & a skewed rectangle. ""}","study","148","stimuli/148.jpg","7141.91","32","a 'u' shaped splatter with two triangles on the bottom left, a long angle to the bottom right, a hook shape with a sharp angle to the top right & a skewed rectangle. ","34"
"","","","","","survey-text","8","2.0.0","293141","po26baes4xa","heron ","19506","","{""image_description"":""a fish pointing its nose to the bottom left of the screen""}","study","51","stimuli/51.jpg","6793.84","13","a fish pointing its nose to the bottom left of the screen","12"
"","","","","","survey-text","9","2.0.0","314142","po26baes4xa","heron ","20487","","{""image_description"":""a mouse curser facing the top right but stretched out. ""}","study","28","stimuli/28.jpg","6676.6","8","a mouse curser facing the top right but stretched out. ","11"
